SiteID,SiteCode,SiteName,CT,ST,EPACode,Lat,Lon,Elev,Start,End
12150,010730023,North Birmingham (#4),US,AL,010730023,33.55,-86.81,177,01/01/94,09/30/18
11690,010732003,Wylam (#2),US,AL,010732003,33.5,-86.92,191,01/01/94,09/30/18
23631,010736002,Tarrant Elementary School (#3),US,AL,010736002,33.58,-86.77,173,01/01/13,09/30/18
23632,010736003,44-Sweet Avenue,US,AL,010736003,33.59,-86.78,169,01/01/99,10/31/11
23633,010736004,Sloss Shuttlesworth,US,AL,010736004,33.57,-86.8,179,01/01/99,09/30/18
15471,010970003,Chickasaw,US,AL,010970003,30.77,-88.09,11,01/01/98,12/31/98
15471,010970003,Chickasaw (#2),US,AL,010970003,30.77,-88.09,11,03/01/96,01/31/11
11568,011011002,"Moms, Adem (#2)",US,AL,011011002,32.41,-86.26,76,10/07/93,12/31/02
15900,020200018,Garden/Trinity Christian Church (#3),US,AK,020200018,61.21,-149.82,39,01/01/09,06/30/18
16305,020200044,On The Roof Of The Allstate Building (#3),US,AK,020200044,61.18,-149.82,50,07/01/10,11/26/14
100790,020200045,On The Roof Of The Tudor Professional Building ...,US,AK,020200045,61.18,-149.83,50,06/01/15,06/30/18
39413,020200052,Dhhs (#3),US,AK,020200052,61.22,-149.9,35,01/01/09,12/31/12
23653,020201004,Parkgate/Eagle River (#3),US,AK,020201004,61.33,-149.57,100,01/01/09,06/30/18
101415,020500001,Bethel (#3),US,AK,020500001,60.8,-161.77,4,06/05/18,06/30/18
97954,020900034,Ncore (#3),US,AK,020900034,64.85,-147.73,132,02/23/11,06/30/18
97956,021220008,"Kenai Peninsula Borough Building Site, Soldotna...",US,AK,021220008,60.49,-151.07,34,01/01/12,05/23/14
11783,021700008,Butte (#3),US,AK,021700008,61.53,-149.03,30,08/11/11,06/30/18
59991,021700012,Palmer (#3),US,AK,021700012,61.6,-149.11,72,01/01/11,06/30/18
59992,021700013,Wasilla (#3),US,AK,021700013,61.6,-149.46,102,01/01/12,03/31/15
59994,040011003,White Mountain Fort Apache Reservation,US,AZ,040011003,34.07,-109.86,2230,01/02/09,09/30/18
23658,040011234,Fd,US,AZ,040011234,35.75,-109.07,0,01/01/03,09/20/09
23659,040030011,Paul Spur Chemical Lime Plant (#3),US,AZ,040030011,31.37,-109.73,1278,04/01/12,09/30/18
15676,040031005,Douglas Red Cross (#3),US,AZ,040031005,31.35,-109.54,1231,01/01/13,09/30/18
77281,040051237,"101 Main Street, Tuba City, Az",US,AZ,040051237,36.13,-111.23,1500,01/01/09,09/27/12
16156,040070008,Payson Well Site (#3),US,AZ,040070008,34.23,-111.33,1497,07/01/14,09/30/18
23665,040071001,Hayden Old Jail (#3),US,AZ,040071001,33.01,-110.79,625,12/22/05,09/30/18
26783,040078000,Miami Golf Course (#3),US,AZ,040078000,33.42,-110.83,1012,07/26/12,09/30/18
26797,040128000,Alamo Lake (#3),US,AZ,040128000,34.24,-113.56,376,01/01/14,09/30/18
16164,040130019,West Phoenix,US,AZ,040130019,33.48,-112.14,333,01/01/06,09/30/18
23669,040130021,1475 E Pecos Rd-Chandler Station,US,AZ,040130021,33.29,-111.82,357,10/26/96,12/26/96
23669,040130021,1475 E Pecos Rd-Chandler Station (#2),US,AZ,040130021,33.29,-111.82,357,01/01/97,12/31/98
23670,040131003,Mesa,US,AZ,040131003,33.41,-111.87,383,01/01/13,09/30/18
23671,040131004,North Phoenix,US,AZ,040131004,33.56,-112.07,378,01/01/13,09/30/18
23672,040132001,Glendale,US,AZ,040132001,33.57,-112.19,350,01/01/13,09/30/18
23674,040133002,Central Phoenix (#4),US,AZ,040133002,33.46,-112.05,339,01/01/13,09/30/18
23675,040133003,South Scottsdale,US,AZ,040133003,33.48,-111.92,368,01/01/13,09/30/18
23678,040133007,Salt River Service Center-City Equipment Servic...,US,AZ,040133007,33.42,-112.1,0,01/01/97,12/31/98
23679,040133009,West Chandler-Fire Stn-Price Rd & Chandler Blvd,US,AZ,040133009,33.3,-111.89,0,01/01/97,11/04/97
23680,040133010,Greenwood,US,AZ,040133010,33.46,-112.12,325,01/01/06,06/18/16
23681,040134003,South Phoenix,US,AZ,040134003,33.4,-112.08,326,01/01/08,09/30/18
23681,040134003,South Phoenix (#2),US,AZ,040134003,33.4,-112.08,326,07/01/07,12/31/07
23682,040134004,West Chandler,US,AZ,040134004,33.3,-111.88,366,01/01/10,09/30/18
23682,040134004,West Chandler (#2),US,AZ,040134004,33.3,-111.88,366,09/26/09,12/31/09
26825,040134005,Tempe,US,AZ,040134005,33.41,-111.93,352,03/01/12,09/30/18
23683,040134006,Higley,US,AZ,040134006,33.31,-111.72,391,01/01/05,09/30/18
23220,040134009,West 43Rd Avenue,US,AZ,040134009,33.41,-112.14,318,01/01/05,09/30/18
23685,040134010,Dysart,US,AZ,040134010,33.64,-112.34,359,01/01/10,09/30/18
23685,040134010,Dysart (#2),US,AZ,040134010,33.64,-112.34,359,09/25/09,12/31/09
26827,040134011,Buckeye,US,AZ,040134011,33.37,-112.62,258,01/01/05,09/30/18
39425,040134014,Coyote Lakes,US,AZ,040134014,33.67,-112.31,359,04/02/07,02/23/09
59995,040134016,Zuni Hills,US,AZ,040134016,33.69,-112.29,386,12/01/09,09/30/18
39426,040135100,Fort Mcdowell/Yuma Frank (#3),US,AZ,040135100,33.63,-111.68,435,03/03/15,08/30/18
25657,040137003,St Johns Air Monitoring Site,US,AZ,040137003,33.29,-112.16,326,01/01/13,06/30/18
25660,040137020,Senior Center Air Monitoring Station (#3),US,AZ,040137020,33.49,-111.86,377,01/01/14,06/30/18
26834,040137022,Lehi Air Monitoring Station (#3),US,AZ,040137022,33.47,-111.81,412,04/01/18,06/30/18
26836,040137024,High School Air Monitoring Station (#2),US,AZ,040137024,33.51,-111.84,366,10/01/12,06/30/18
23687,040139812,Durango Complex,US,AZ,040139812,33.43,-112.12,317,01/01/05,09/30/18
15488,040139997,Jlg Supersite (#3),US,AZ,040139997,33.5,-112.1,346,01/01/04,09/30/18
15488,040139997,Jlg Supersite (#4),US,AZ,040139997,33.5,-112.1,346,01/01/11,06/30/12
23689,040151003,Bullhead City Adeq (#3),US,AZ,040151003,35.15,-114.57,156,07/01/12,09/30/18
