SiteID,SiteCode,SiteName,CT,ST,EPACode,Lat,Lon,Elev,Start,End
23601,GAVMCAAB1EST,Esther,CA,AB, ,51.67,-110.2,616,07/28/95,01/07/01
23601,GAVMCAAB1EST,Esther (#2),CA,AB, ,51.67,-110.2,616,07/28/95,01/07/01
23602,GAVMCABC1ABB,Abbotsford,CA,BC, ,49,-122.3,21,05/31/94,06/20/95
23602,GAVMCABC1ABB,Abbotsford (#2),CA,BC, ,49,-122.3,21,05/31/94,06/20/95
23603,GAVMCANB1STA,St. Andrew,CA,NB, ,45.09,-67.08,53,12/21/94,07/25/97
23603,GAVMCANB1STA,St. Andrew (#2),CA,NB, ,45.09,-67.08,53,12/21/94,07/25/97
23604,GAVMCAON1EGB,Egbert,CA,ON, ,44.2,-79.8,251,11/09/94,09/27/99
23604,GAVMCAON1EGB,Egbert (#2),CA,ON, ,44.2,-79.8,251,11/09/94,09/27/99
23605,GAVMCAON1TOR,Toronto,CA,ON, ,43.63,-79.5,107,10/29/97,06/11/99
23605,GAVMCAON1TOR,Toronto (#2),CA,ON, ,43.63,-79.5,107,10/29/97,06/11/99
