Site name,Location,Type,Longitude (°),Latitude (°),Altitude (m),ID
Agoufou,Mali,Dry savanna,000.6667,15.1500,300.0,1
Katibougou,Mali,Dry savanna,-007.5333,12.9333,290.0,2
Banizoumbou (LA),Niger,Dry savanna,002.4667,13.5167,220.0,3
Djougou,Benin,Wet Savanna,001.9167,09.6667,430.0,4
Lamto,Cote d'Ivoire,Wet Savanna,-005.0333,06.2167,105.0,5
Zoetele,Cameroon,Forest,011.9667,03.1667,720.0,6
Bomassa,Congo,Forest,016.3333,02.2000,350.0,7
Louis Trichardt,South Africa,Dry savanna,030.0000,-23.0000,1465.0,8
Amersfoort,South Africa,Dry savanna,029.8667,-27.0667,1646.0,9
Cape Point,South Africa,Coastal marine,018.4833,-34.3500,230.0,10
M'Bour,Senegal,,-016.9600,14.3900,,11
Cinzana,Mali,,-005.9333,13.2833,285.0,12
Bambey,Senegal,,-016.4700,14.7000,31.0,13
Banizoumbou (Lisa),Niger,,002.6600,13.5400,,14
Skukuza,South Africa,Dry savanna,031.5833,-24.9833,267.0,15
Medenine,Tunisia,Dry savanna,010.6333,33.5000,90.0,16
