Code,ID
ALf,101
ammNO3f,907
ammNO3f_Large,3024
ammNO3f_Small,3025
ammNO3f_bext,908
ammSO4f,900
ammSO4f_Large,3026
ammSO4f_Small,3027
ammSO4f_bext,901
CAf,105
ECf_bext,906
EC1f,115
EC2f,116
EC3f,117
ECf,114
OC1f,142
OC2f,143
OC3f,144
OC4f,145
OMCf,3016
OPf,146
OCf,141
CHLf,108
CLf,109
CM_bext,904
dv,905
FEf,118
MT,132
MF,127
CM_calculated,903
RCFM,910
NO3f,139
OMCf_Large,3028
OMCf_Small,3029
OMCf_bext,909
fRHgrid,402
flRH,3019
fssRH,3020
fsRH,3018
SeaSaltf,3014
SeaSaltf_bext,3015
SIf,154
S_Rayleigh,3017
SOILf,911
SOILf_bext,912
SVR,954
SO4f,156
Sf,151
TIf,159
aerosol_bext,902
total_bext,3021
