SiteID,SiteCode,SiteName,CT,ST,EPACode,Lat,Lon,Elev,Start,End
207,ABT147,Abington,US,CT,090159991,41.84,-72.01,209,01/01/94,12/30/14
208,ACA416,Acadia NP,US,ME,230090103,44.38,-68.26,152,02/01/98,12/30/14
25664,ALC188,Alabama-Coushatta,US,TX,483739991,30.42,-94.4,101,04/03/04,12/30/14
209,ALH157,Alhambra,US,IL,171199991,38.87,-89.62,164,07/01/88,12/30/14
210,ALH257,Alhambra Collocated,US,IL, ,38.87,-89.62,164,04/01/89,09/30/90
212,ANA115,Ann Arbor,US,MI,261619991,42.42,-83.9,267,07/01/88,12/30/14
213,ANL146,Argonne NL,US,IL, ,41.7,-87.99,229,07/01/87,03/31/93
214,ARE128,Arendtsville,US,PA,420019991,39.92,-77.31,269,07/01/88,12/30/14
215,ARE228,Arendtsville Collocated,US,PA, ,39.92,-77.31,269,10/01/90,05/31/95
217,ASH135,Ashland,US,ME,230039991,46.6,-68.41,235,01/01/89,12/30/14
218,ASH235,Ashland Collocated,US,ME, ,46.6,-68.41,235,09/01/95,09/30/01
98210,BAS601,Basin,US,WY, ,44.28,-108.04,1242,11/01/12,12/30/14
219,BBE401,Big Bend NP,US,TX,480430101,29.31,-103.18,1052,07/01/95,12/30/14
220,BEL116,Beltsville,US,MD,240339991,39.03,-76.82,46,01/01/89,12/30/14
221,BFT142,Beaufort,US,NC,370319991,34.88,-76.62,2,01/01/94,12/30/14
98211,BUF603,Buffalo,US,WY, ,44.14,-106.11,1324,11/01/12,12/30/14
222,BVL130,Bondville,US,IL,170199991,40.05,-88.37,212,04/01/88,12/30/14
224,BWR139,Blackwater NWR,US,MD,240199991,38.44,-76.11,4,07/01/95,12/30/14
225,CAD150,Caddo Valley,US,AR,050199991,34.18,-93.1,71,10/01/88,12/30/14
226,CAN407,Canyonlands NP,US,UT,490370101,38.46,-109.82,1814,01/01/95,12/30/14
227,CAT175,Claryville,US,NY, ,41.94,-74.55,765,05/01/94,12/30/14
228,CDR119,Cedar Creek,US,WV,540219991,38.88,-80.85,234,01/01/88,12/30/14
229,CDZ171,Cadiz,US,KY,212219991,36.79,-87.85,189,10/01/93,12/30/14
231,CHA267,Chiricahua NM Collocated,US,AZ, ,32.01,-109.39,1570,07/01/89,09/30/92
232,CHA467,Chiricahua NM (NPS),US,AZ,040038001,32.01,-109.39,1570,07/01/89,12/30/14
507,CHE185,Cherokee Nation,US,OK,400019009,35.75,-94.67,299,04/01/02,12/30/14
233,CKT136,Crockett,US,KY,211759991,37.92,-83.07,455,08/24/93,12/30/14
234,CND125,Candor,US,NC,371239991,35.26,-79.84,198,10/01/90,12/30/14
236,CNT169,Centennial,US,WY,560019991,41.37,-106.24,3178,07/01/89,12/30/14
25661,CON186,Converse Station,US,CA, ,34.19,-116.91,1837,06/17/03,01/31/11
237,COW137,Coweeta 137,US,NC,371139991,35.06,-83.43,686,01/01/88,12/30/14
239,CTH110,Connecticut Hill,US,NY,361099991,42.4,-76.65,501,10/01/87,12/30/14
241,CVL151,Coffeeville,US,MS,281619991,34,-89.8,134,01/01/89,12/30/14
242,DCP114,Deer Creek,US,OH,390479991,39.64,-83.26,267,10/01/88,12/30/14
243,DCP214,Deer Creek Collocated,US,OH, ,39.64,-83.26,267,10/01/90,09/30/92
244,DEN417,Denali NP,US,AK,020680003,63.72,-148.97,661,01/01/98,12/30/14
245,DEV412,Death Valley NM,US,CA, ,36.51,-116.84,125,01/01/95,05/11/08
98750,DIN431,Dinosaur NM,US,UT, ,40.44,-109.3,1463,11/20/13,12/30/14
246,EGB181,Egbert,CA,ON, ,44.23,-79.78,251,07/01/94,12/30/14
247,ESP127,Edgar Evins,US,TN,470419991,36.04,-85.73,302,07/01/88,12/30/14
248,EVE419,Everglades NP,US,FL, ,25.39,-80.68,2,01/01/98,12/30/14
98294,FOR605,Fortification Creek,US,WY, ,44.34,-105.92,1408,04/01/13,12/30/14
249,GAS153,Georgia Station,US,GA,132319991,33.18,-84.41,270,07/01/88,12/30/14
250,GAS253,Georgia Station Collocated,US,GA, ,33.18,-84.41,270,04/01/89,09/30/90
252,GLR468,Glacier NP NPS,US,MT,300298001,48.51,-114,976,04/01/89,12/30/14
254,GRB411,Great Basin NP,US,NV,320330101,39.01,-114.22,2060,04/01/95,12/30/14
255,GRC474,Grand Canyon NP (NPS),US,AZ,040058001,36.06,-112.18,2073,07/01/89,12/30/14
256,GRS420,Great Smoky NP - Look Rock,US,TN,470090101,35.63,-83.94,793,01/01/98,12/30/14
257,GTH161,Gothic,US,CO,080519991,38.96,-106.98,2926,07/01/89,12/30/14
259,HOW132,Howland,US,ME,230199991,45.22,-68.71,69,01/01/93,11/26/12
98207,HOW191,Howland Ameriflux,US,ME, ,45.2,-68.74,60,09/01/11,12/30/14
508,HOX148,Hoxeyville,US,MI,261659991,44.18,-85.74,305,10/28/00,12/30/14
261,HVT424,Hawaii Volcanoes NP,US,HI, ,19.45,-155.3,1199,09/01/99,06/30/04
509,HWF187,Huntington Wildlife Forest,US,NY,360319991,43.97,-74.22,502,06/01/02,12/30/14
510,IRL141,Indian River Lagoon,US,FL,120619991,27.85,-80.46,2,07/01/01,12/30/14
262,JOT403,Joshua Tree NM,US,CA,060719002,34.07,-116.39,1244,02/01/95,12/30/14
263,KEF112,Kane Exp. Forest,US,PA,420479991,41.6,-78.77,622,01/01/89,12/30/14
98749,KIC003,Kickapoo Tribe,US,KS, ,39.85,-95.66,367,02/18/14,12/30/14
511,KNZ184,Konza Prairie,US,KS,201619991,39.1,-96.61,348,03/26/02,12/30/14
25663,KVA428,Kobuk Valley NP,US,AK, ,67.18,-157.89,88,07/01/04,09/30/05
264,LAV410,Lassen Volcanic NP,US,CA,060893003,40.54,-121.57,1756,07/01/95,12/30/14
265,LCW121,Lilley C. Woods,US,KY, ,37.13,-82.99,335,04/01/88,12/31/93
268,LRL117,Laurel Hill,US,PA,421119991,39.99,-79.25,615,01/01/88,12/30/14
269,LYE145,Lye Brook,US,VT, ,43.05,-73.06,730,01/01/94,07/15/07
270,LYK123,Lykens,US,OH, ,40.92,-83,303,12/01/88,10/13/10
512,MAC426,Mammoth Cave National Park,US,KY,210610501,37.28,-86.26,236,07/01/02,12/30/14
271,MCK131,Mackville,US,KY,212299991,37.7,-85.05,353,08/01/90,12/30/14
272,MCK231,Mackville Collocated,US,KY,212299991,37.7,-85.05,353,01/01/93,12/30/14
273,MEV405,Mesa Verde NP,US,CO,080830101,37.2,-108.49,2165,01/01/95,12/30/14
274,MKG113,M.K. Goddard,US,PA,420859991,41.42,-80.14,384,04/01/88,12/30/14
276,MOR409,Mount Rainier NP,US,WA,530531010,46.76,-122.12,421,08/01/95,12/30/14
277,NCS415,North Cascades NP,US,WA, ,48.54,-121.45,109,02/01/96,05/11/08
98212,NEC602,Newcastle,US,WY, ,43.87,-104.19,1468,11/01/12,12/30/14
98208,NIC001,Nicks Lake,US,NY, ,43.68,-74.99,525,11/14/12,12/30/14
278,OLY421,Olympic NP,US,WA, ,48.1,-123.43,125,11/01/98,02/28/05
