Code,ID
ALf,101
ammNO3f,907
ammNO3f_Large,3024
ammNO3f_Small,3025
ammNO3f_bext,908
ammSO4f,900
ammSO4f_Large,3026
ammSO4f_Small,3027
ammSO4f_bext,901
AnthBext,3634
AnthEammNO3,3635
AnthEammSO4,3636
AnthECM,3637
AnthELAC,3638
AnthEOMC,3639
AnthESoil,3640
C_Rat,3641
CAf,105
CBEXT,3701
ECf_bext,906
EC1f,115
EC2f,116
EC3f,117
ECf,114
OC1f,142
OC2f,143
OC3f,144
OC4f,145
OMCf,3016
OPf,146
CHLf,108
CLf,109
CM_bext,904
dv,905
DUSTBEXT,3702
E_Rat,3642
EammNO3_AM,3643
EammSO4_AM,3644
EpiBext,3645
EpiCarbon,3646
EpiCarbon95Min,3647
EpiDust,3648
EpiDust95Min,3649
EpiECM,3650
EpiELAC,3651
EpiEOMC,3652
EpiESoil,3653
EpiRoutBext,3654
EpiRoutDv,3655
ESeaSalt_AM,3656
F_Anthro,3657
F_Rat,3658
Haze_Dv,3659
Impairment,3660
FEf,118
MT,132
MF,127
CM_calculated,903
N_Rat,3661
NC2SiaEammNO3,3662
NC2SiaEammSO4,3663
NC2SiaECM,3664
NC2SiaEEC,3665
NC2SiaESoil,3666
NC2SiaEOC,3667
NO3f,139
NonEpiECM,3668
NonEpiECM_AM,3669
NonEpiELAC,3670
NonEpiELAC_AM,3671
NonEpiEOMC,3672
NonEpiEOMC_AM,3673
NonEpiESoil,3674
NonEpiESoil_AM,3675
O_Rat,3676
OMCf_Large,3028
OMCf_Small,3029
OMCf_bext,909
fRHgrid,402
flRH,3019
fssRH,3020
fsRH,3018
RoutBext,3677
RoutDv,3703
RoutEammNO3,3678
RoutEammSO4,3679
RoutECM,3680
RoutELAC,3681
RoutEOMC,3682
RoutESeaSalt,3683
RoutESoil,3684
S_Rat,3685
SeaSaltf,3014
SeaSaltf_bext,3015
SIf,154
S_Rayleigh,3017
SOILf,911
SOILf_bext,912
SVR,954
SO4f,156
Sf,151
TIf,159
aerosol_bext,902
total_bext,3021
