Site,Code,Dataset,State,County,Latitude,Longitude,Elevation,StartDate,EndDate,NumPOCs,ID
Acadia NP,ACAD1,IMPFSPED,ME,23009,44.37710,-68.26100,157,03/02/1988,10/29/2018,1,1
Addison Pinnacle,ADPI1,IMPFSPED,NY,36101,42.09120,-77.20990,512,04/04/2001,06/28/2010,1,144
Agua Tibia,AGTI1,IMPFSPED,CA,06065,33.46360,-116.97060,507,12/20/2000,10/29/2018,1,100
Ambler,AMBL1,IMPFSPED,AK,02188,67.09934,-157.86280,77,09/03/2003,11/29/2004,1,524
Arches NP,ARCH1,IMPFSPED,UT,49019,38.78330,-109.58330,1722,03/02/1988,12/29/1999,1,167
Arendtsville,AREN1,IMPFSPED,PA,42001,39.92320,-77.30790,267,04/04/2001,12/31/2010,1,138
Badlands NP,BADL1,IMPFSPED,SD,46071,43.74350,-101.94120,736,03/02/1988,10/29/2018,1,59
Baengnyeong Island,BYIS1,IMPFSPED,-999,-999,37.96590,124.63080,100,03/20/2013,10/29/2018,2,98296
Baengnyeong Island Co-located A Module,BYISX,IMPFSPED,-999,-999,37.96590,124.63080,100,04/23/2014,07/29/2015,1,98752
Baltimore,BALT1,IMPFSPED,MD,24005,39.25470,-76.70930,78,06/02/2004,12/31/2006,1,25532
Bandelier NM,BAND1,IMPFSPED,NM,35028,35.77970,-106.26640,1988,03/02/1988,10/29/2018,1,33
Barrier Lake,BALA1,IMPFSPED,AB,-999,51.02900,-115.03360,1391,01/15/2011,03/29/2017,1,94952
Big Bend NP,BIBE1,IMPFSPED,TX,48043,29.30270,-103.17800,1066,03/02/1988,10/29/2018,2,31
Bliss SP (TRPA),BLIS1,IMPFSPED,CA,06017,38.97610,-120.10250,2130,09/01/1990,10/29/2018,1,95
Blue Mounds,BLMO1,IMPFSPED,MN,27133,43.71580,-96.19130,473,06/01/2002,12/29/2015,2,147
Bondville,BOND1,IMPFSPED,IL,17019,40.05200,-88.37330,263,03/08/2001,10/29/2018,1,140
Bosque del Apache,BOAP1,IMPFSPED,NM,35053,33.86950,-106.85200,1389,04/15/2000,10/29/2018,1,38
Boulder Lake,BOLA1,IMPFSPED,WY,56035,42.84648,-109.63973,2296,08/26/2009,10/29/2018,1,59989
Boundary Waters Canoe Area,BOWA1,IMPFSPED,MN,27075,47.94660,-91.49550,526,06/01/1991,10/29/2018,1,23
Breton,BRET1,IMPFSPED,LA,22075,29.11890,-89.20660,11,08/16/2000,08/29/2005,1,20
Breton Island,BRIS1,IMPFSPED,LA,22075,30.10863,-89.76168,-7,01/16/2008,10/29/2018,2,42018
Bridger Wilderness,BRID1,IMPFSPED,WY,56035,42.97490,-109.75790,2626,03/02/1988,10/29/2018,1,65
Bridgton,BRMA1,IMPFSPED,ME,23005,44.10740,-70.72920,233,03/14/2001,12/29/2015,1,130
Brigantine NWR,BRIG1,IMPFSPED,NJ,34001,39.46500,-74.44920,5,09/04/1991,10/29/2018,1,5
Brooklyn Lake,BRLA1,IMPFSPED,WY,56001,41.36620,-106.24180,3196,07/31/1993,01/31/2004,1,115
Bryce Canyon NP,BRCA1,IMPFSPED,UT,49017,37.61840,-112.17360,2481,03/02/1988,10/29/2018,1,49
Cabinet Mountains,CABI1,IMPFSPED,MT,30089,47.95490,-115.67090,1441,07/26/2000,10/29/2018,1,75
Cadiz,CADI1,IMPFSPED,KY,21221,36.78420,-87.85010,191,03/08/2001,12/31/2010,1,142
Caney Creek,CACR1,IMPFSPED,AR,05113,34.45440,-94.14290,683,06/24/2000,10/29/2018,1,29
Canyonlands NP,CANY1,IMPFSPED,UT,49037,38.45870,-109.82100,1798,03/02/1988,10/29/2018,1,50
Cape Cod,CACO1,IMPFSPED,MA,25001,41.97580,-70.02420,49,04/04/2001,10/29/2018,1,131
Cape Romain NWR,ROMA1,IMPFSPED,SC,45019,32.94100,-79.65720,4,09/03/1994,10/29/2018,1,15
Capitol Reef NP,CAPI1,IMPFSPED,UT,49055,38.30220,-111.29260,1896,04/19/2000,10/29/2018,1,52
Carlsbad Caverns,CAVE1,IMPFSPED,NM,35015,32.17830,-104.44376,1355,07/30/2017,10/29/2018,1,101321
Casco Bay,CABA1,IMPFSPED,ME,23005,43.83250,-70.06440,26,03/14/2001,10/29/2018,1,129
Cedar Bluff,CEBL1,IMPFSPED,KS,20195,38.77010,-99.76340,665,06/01/2002,10/29/2018,1,156
Chassahowitzka NWR,CHAS1,IMPFSPED,FL,12017,28.74840,-82.55490,4,03/03/1993,10/29/2018,1,18
Cherokee Nation,CHER1,IMPFSPED,OK,40071,36.95620,-97.03130,342,09/02/2002,04/20/2010,1,158
Chicago,CHIC1,IMPFSPED,IL,17031,41.75140,-87.71350,194,09/03/2003,08/29/2005,1,525
Chiricahua NM,CHIR1,IMPFSPED,AZ,04003,32.00940,-109.38900,1554,03/02/1988,10/29/2018,1,39
Cloud Peak,CLPE1,IMPFSPED,WY,56019,44.33350,-106.95650,2470,06/01/2002,07/29/2015,1,163
Cohutta,COHU1,IMPFSPED,GA,13213,34.78520,-84.62650,735,06/03/2000,10/29/2018,1,12
Columbia Gorge #1,COGO1,IMPFSPED,WA,53039,45.56926,-122.21029,230,09/18/1996,10/30/2011,1,145
Columbia River Gorge,CORI1,IMPFSPED,WA,53039,45.66440,-121.00080,178,06/02/1993,10/29/2018,1,113
Connecticut Hill,COHI1,IMPFSPED,NY,36109,42.40090,-76.65340,519,04/04/2001,06/25/2006,1,136
Crater Lake NP,CRLA1,IMPFSPED,OR,41035,42.89580,-122.13610,1996,03/02/1988,10/29/2018,1,86
Craters of the Moon NM,CRMO1,IMPFSPED,ID,16023,43.46050,-113.55510,1817,03/04/1992,10/29/2018,1,69
Crescent Lake,CRES1,IMPFSPED,NE,31069,41.76270,-102.43360,1207,06/01/2002,12/29/2015,1,153
Death Valley NP,DEVA1,IMPFSPED,CA,06027,36.50890,-116.84780,130,09/04/1993,04/28/2013,1,119
Denali NP,DENA1,IMPFSPED,AK,02068,63.72330,-148.96750,658,03/02/1988,10/29/2018,1,102
Detroit,DETR1,IMPFSPED,MI,26163,42.22860,-83.20850,179,09/03/2003,10/29/2018,1,526
Dolly Sods Wilderness,DOSO1,IMPFSPED,WV,54093,39.10530,-79.42610,1182,09/04/1991,10/29/2018,1,8
Dome Lands Wilderness,DOLA1,IMPFSPED,CA,06029,35.69870,-118.20210,914,06/01/1994,12/29/1999,1,109
Dome Lands Wilderness,DOME1,IMPFSPED,CA,06029,35.72780,-118.13770,927,02/02/2000,10/29/2018,1,110
Douglas,DOUG1,IMPFSPED,AZ,04003,31.34921,-109.53973,1230,06/02/2004,10/30/2015,1,25534
Egbert,EGBE1,IMPFSPED,ON,-999,44.23115,-79.78322,251,09/01/2005,10/29/2018,1,25540
El Dorado Springs,ELDO1,IMPFSPED,MO,29039,37.70090,-94.03480,297,03/03/2002,12/29/2015,1,157
Ellis,ELLI1,IMPFSPED,OK,40045,36.08530,-99.93540,697,03/03/2002,10/18/2015,1,159
Everglades NP,EVER1,IMPFSPED,FL,12086,25.39100,-80.68060,1,09/03/1988,10/29/2018,2,19
Flat Tops,FLTO1,IMPFSPED,CO,08103,39.91530,-107.63450,2593,10/27/2011,10/29/2018,1,94959
Flathead,FLAT1,IMPFSPED,MT,30047,47.77340,-114.26900,1580,06/01/2002,10/29/2018,1,162
Forest County Potawatomi Community,FCPC1,IMPFSPED,WI,55041,45.56495,-88.80838,564,11/17/2016,10/29/2018,1,101299
Fort Peck,FOPE1,IMPFSPED,MT,30085,48.30800,-105.10220,638,06/01/2002,10/29/2018,1,160
Fresno,FRES1,IMPFSPED,CA,06019,36.78180,-119.77320,100,09/03/2004,10/29/2018,1,25541
Frostburg Reservoir (Big Piney Run),FRRE1,IMPFSPED,MD,24023,39.70580,-79.01220,767,03/01/2004,10/29/2018,2,25535
Gates of the Arctic NP,GAAR1,IMPFSPED,AK,02261,66.90250,-151.51700,196,11/02/2008,10/30/2015,1,448
Gates of the Mountains,GAMO1,IMPFSPED,MT,30049,46.82620,-111.71070,2387,07/26/2000,10/29/2018,2,74
Gila Wilderness,GICL1,IMPFSPED,NM,35003,33.22040,-108.23510,1775,03/02/1994,10/29/2018,1,42
Glacier NP,GLAC1,IMPFSPED,MT,30029,48.51050,-113.99660,975,03/02/1988,10/29/2018,1,72
Great Basin NP,GRBA1,IMPFSPED,NV,32033,39.00520,-114.21610,2065,03/04/1992,10/29/2018,1,117
Great Gulf Wilderness,GRGU1,IMPFSPED,NH,33007,44.30820,-71.21770,453,06/03/1995,10/29/2018,1,4
Great River Bluffs,GRRI1,IMPFSPED,MN,27169,43.93730,-91.40520,370,06/01/2002,10/29/2018,1,146
Great Sand Dunes NM,GRSA1,IMPFSPED,CO,08003,37.72490,-105.51850,2498,03/02/1988,10/29/2018,1,53
Great Smoky Mountains NP,GRSM1,IMPFSPED,TN,47009,35.63340,-83.94160,810,03/02/1988,10/29/2018,1,10
Great Smoky Mountains NP (PM10 Speciation),GRSM9,IMPFSPED,TN,-999,35.63340,-83.94170,815,01/01/2005,04/28/2005,1,518
Guadalupe Mountains NP,GUMO1,IMPFSPED,TX,48109,31.83300,-104.80940,1672,03/02/1988,10/29/2018,1,32
Haleakala Crater,HACR1,IMPFSPED,HI,-999,20.75850,-156.24790,2158,01/24/2007,10/29/2018,1,39350
Haleakala NP,HALE1,IMPFSPED,HI,15009,20.80860,-156.28230,1153,12/01/1990,05/30/2012,1,108
Hance Camp at Grand Canyon NP,GRCA2,IMPFSPED,AZ,04005,35.97310,-111.98410,2267,03/02/1996,10/29/2018,1,48
Hawaii Volcanoes NP,HAVO1,IMPFSPED,HI,15001,19.43090,-155.25790,1258,03/02/1988,10/29/2018,1,107
Hells Canyon,HECA1,IMPFSPED,OR,41063,44.97020,-116.84380,655,09/03/2000,10/29/2018,1,77
Hercules-Glades,HEGL1,IMPFSPED,MO,29213,36.61380,-92.92210,404,03/02/2001,10/29/2018,2,28
