Site,Code,Dataset,State,County,Latitude,Longitude,Elevation,StartDate,EndDate,NumPOCs,ID
Abington,ABT147,CASTOZONE,CT,09015,41.84080,-72.01110,209,01/01/1994,12/30/2014,1,207
Acadia NP,ACA416,CASTOZONE,ME,23009,44.37700,-68.26100,152,02/01/1998,12/30/2014,1,208
Alabama-Coushatta,ALC188,CASTOZONE,TX,-999,30.42100,-94.40450,101,04/03/2004,12/30/2014,1,25664
Alhambra,ALH157,CASTOZONE,IL,17119,38.86890,-89.62190,164,07/01/1988,12/30/2014,1,209
Alhambra Collocated,ALH257,CASTOZONE,IL,17119,38.86890,-89.62190,164,04/01/1989,09/30/1990,1,210
Ann Arbor,ANA115,CASTOZONE,MI,26161,42.41640,-83.90190,267,07/01/1988,12/30/2014,1,212
Arendtsville,ARE128,CASTOZONE,PA,42001,39.92310,-77.30780,269,07/01/1988,12/30/2014,1,214
Arendtsville Collocated,ARE228,CASTOZONE,PA,42001,39.92310,-77.30780,269,10/01/1990,05/31/1995,1,215
Argonne NL,ANL146,CASTOZONE,IL,17043,41.70000,-87.99000,229,07/01/1987,03/31/1993,1,213
Ashland,ASH135,CASTOZONE,ME,23003,46.60390,-68.41420,235,01/01/1989,12/30/2014,1,217
Ashland Collocated,ASH235,CASTOZONE,ME,23003,46.60390,-68.41420,235,09/01/1995,09/30/2001,1,218
Basin,BAS601,CASTOZONE,WY,56003,44.28000,-108.04110,1242,11/01/2012,12/30/2014,1,98210
Beaufort,BFT142,CASTOZONE,NC,37031,34.88430,-76.62130,2,01/01/1994,12/30/2014,1,221
Beltsville,BEL116,CASTOZONE,MD,24033,39.02830,-76.81750,46,01/01/1989,12/30/2014,1,220
Big Bend NP,BBE401,CASTOZONE,TX,48043,29.31000,-103.17700,1052,07/01/1995,12/30/2014,1,219
Blackwater NWR,BWR139,CASTOZONE,MD,24019,38.44480,-76.11150,4,07/01/1995,12/30/2014,1,224
Bondville,BVL130,CASTOZONE,IL,17019,40.05140,-88.37190,212,04/01/1988,12/30/2014,1,222
Buffalo,BUF603,CASTOZONE,WY,56019,44.14420,-106.10890,1324,11/01/2012,12/30/2014,1,98211
Caddo Valley,CAD150,CASTOZONE,AR,05019,34.17920,-93.09890,71,10/01/1988,12/30/2014,1,225
Cadiz,CDZ171,CASTOZONE,KY,21221,36.78540,-87.85040,189,10/01/1993,12/30/2014,1,229
Candor,CND125,CASTOZONE,NC,37123,35.26370,-79.83700,198,10/01/1990,12/30/2014,1,234
Canyonlands NP,CAN407,CASTOZONE,UT,49037,38.45800,-109.82100,1814,01/01/1995,12/30/2014,1,226
Cedar Creek,CDR119,CASTOZONE,WV,54021,38.87940,-80.84790,234,01/01/1988,12/30/2014,1,228
Centennial,CNT169,CASTOZONE,WY,56001,41.37220,-106.24200,3178,07/01/1989,12/30/2014,1,236
