SiteID,SiteCode,SiteName,CT,ST,EPACode,Lat,Lon,Elev,Start,End
1,ACAD1,Acadia NP,US,ME,230090103,44.38,-68.26,157,03/02/88,11/28/18
144,ADPI1,Addison Pinnacle,US,NY,361019000,42.09,-77.21,512,04/04/01,06/28/10
100,AGTI1,Agua Tibia,US,CA,060659000,33.46,-116.97,508,12/20/00,11/28/18
524,AMBL1,Ambler,US,AK,021889000,67.1,-157.86,78,09/03/03,11/29/04
167,ARCH1,Arches NP,US,UT,490190101,38.78,-109.58,1722,03/02/88,12/29/99
138,AREN1,Arendtsville,US,PA,420019000,39.92,-77.31,267,04/04/01,12/31/10
25531,ATLA1,South Dekalb,US,GA,130890002,33.69,-84.29,243,03/01/04,11/28/18
59,BADL1,Badlands NP,US,SD,460710001,43.74,-101.94,736,03/02/88,11/28/18
94952,BALA1,Barrier Lake,CA,AB, ,51.03,-115.03,1391,01/15/11,03/29/17
43,BALD1,Mount Baldy,US,AZ,040018001,34.06,-109.44,2509,03/01/00,11/28/18
25532,BALT1,Baltimore,US,MD,240059000,39.25,-76.71,78,06/02/04,12/31/06
33,BAND1,Bandelier NM,US,NM,350281002,35.78,-106.27,1988,03/02/88,11/28/18
31,BIBE1,Big Bend NP,US,TX,480430101,29.3,-103.18,1067,03/02/88,11/28/18
31,BIBEX,Big Bend NP (#2),US,TX,480430101,29.3,-103.18,1067,09/03/03,05/19/13
25533,BIRM1,North Birmingham,US,AL,010730023,33.55,-86.81,176,03/01/04,11/28/18
95,BLIS1,Bliss SP (TRPA),US,CA,060179000,38.98,-120.1,2131,09/01/90,11/28/18
147,BLMO1,Blue Mounds,US,MN,271339000,43.72,-96.19,473,06/01/02,12/29/15
147,BLMOX,Blue Mounds (#2),US,MN,271339000,43.72,-96.19,473,09/03/04,12/29/15
38,BOAP1,Bosque del Apache,US,NM,350539000,33.87,-106.85,1390,04/15/00,11/28/18
59989,BOLA1,Boulder Lake,US,WY, ,42.85,-109.64,2296,08/26/09,11/28/18
140,BOND1,Bondville,US,IL,170191001,40.05,-88.37,263,03/08/01,11/28/18
23,BOWA1,Boundary Waters Canoe Area,US,MN,270759000,47.95,-91.5,527,06/01/91,11/28/18
49,BRCA1,Bryce Canyon NP,US,UT,490170101,37.62,-112.17,2481,03/02/88,11/28/18
20,BRET1,Breton,US,LA,220759000,29.12,-89.21,11,08/16/00,08/29/05
65,BRID1,Bridger Wilderness,US,WY,560359000,42.97,-109.76,2627,03/02/88,11/28/18
5,BRIG1,Brigantine NWR,US,NJ,340019000,39.47,-74.45,5,09/04/91,11/28/18
42018,BRIS1,Breton Island,US,LA,220759000,30.11,-89.76,-7,01/16/08,11/28/18
